day,AOV,18-24,25-34,35-44,45-54,55+,CreditCard,Cash,Check,Online,Low,Low-Medium,Medium,Medium-High,High
0,100.5,20.4,18.5,25.1,15.2,21.3,45.1,20.4,10.3,24.7,38.5,22.1,18.6,12.7,8.6
1,104.2,19.3,22.7,23.9,17.1,21.2,46.9,18.3,9.2,29.8,40.3,23.2,17.9,14.1,8.7
2,98.6,21.5,16.3,26.4,12.9,21.5,42.7,21.5,8.9,25.5,37.1,21.8,19.2,11.4,9.1
3,108.9,18.9,24.1,24.5,18.3,23.1,48.2,17.6,11.2,32.5,41.7,24.9,18.1,15.5,8.7
4,115.4,20.7,19.6,27.0,14.8,22.5,50.1,19.2,9.7,35.5,44.9,22.8,20.3,13.2,9.4
5,118.2,17.5,26.1,22.9,20.4,25.2,53.6,15.8,12.3,36.5,48.5,25.3,18.9,17.1,10.4
6,113.7,22.3,15.7,28.2,11.3,22.8,47.9,22.5,8.2,34.1,43.2,20.7,21.4,12.1,10.3
7,121.5,16.9,28.5,21.7,22.8,26.1,56.2,14.2,13.7,39.4,50.7,26.9,19.8,18.5,12.3
8,140.2,25.7,13.9,30.1,10.7,24.5,60.5,25.1,7.5,38.2,55.1,27.6,23.2,11.8,13.5
9,127.6,15.3,31.2,20.5,24.9,27.5,58.1,13.5,14.1,42.5,52.9,28.7,18.5,19.9,15.2
10,180.7,32.1,18.6,50.9,19.7,36.3,78.3,30.2,18.6,53.5,68.7,38.2,28.6,22.7,22.9
11,132.8,23.3,20.1,25.8,16.6,26.2,55.8,20.7,10.4,37.7,50.4,27.1,22.5,14.7,11.9
12,130.6,19.7,24.4,23.1,19.2,27.4,54.6,18.2,12.8,38.1,51.6,26.3,21.9,16.3,12.5
13,138.5,18.1,29.5,22.2,23.6,29.1,59.5,16.8,13.5,41.4,53.7,29.4,19.7,18.1,14.6
14,134.2,21.4,25.1,26.8,17.5,28.8,57.2,21.4,11.7,40.1,52.3,28.1,23.4,15.8,13.7
