dimension_id,dimension_name,dimension_values,dimension_description
Region,Region,"['Northwest', 'Northeast', 'Midwest', 'South', 'West']",Regions where customers are located
SalesDate,SalesDate,"['2023-11-05', '2023-07-21', '2022-12-15', '2022-09-30', '2022-06-14', '2021-08-09', '2021-04-18', '2020-11-25', '2020-07-30', '2020-03-08']", Date of Order
PaymentType,PaymentType,"['Credit Card', 'Cash', 'Check', 'Online']", Mode of Payment
Color,Color,"['Silver', 'Black', 'Red', 'Blue', 'White']",Available colors of the product
ProductCategory,ProductCategory,"['Bikes', 'Components', 'Clothing', 'Accessories', 'Helmets']",Broad categories of products
ProductSubcategory,ProductSubcategory,"['Mountain Bikes', 'Road Bikes', 'Hybrid Bikes', 'Electric Bikes', 'BMX Bikes']",Subcategories under product category
Size,Size,"['Small', 'Medium', 'Large', 'Extra Large', 'XXL']",Available sizes for products
SupplierCountry,SupplierCountry,"['USA', 'Canada', 'Germany', 'Japan', 'China']",Countries of product suppliers
SupplierName,SupplierName,"['ACME Supplies', 'Global Parts Inc.', 'Quality Tools', 'Reliable Distributors', 'Prime Components']",Names of product suppliers
Segment,Customer Segment,"['Individual', 'Corporate']",Type of customer (Individual or Corporate)
Gender,Gender,"['Male', 'Female']",Gender of the customer
AgeGroup,AgeGroup,"['18-24', '25-34', '35-44', '45-54', '55+']",Age range of the customer
IncomeBracket,IncomeBracket,"['Low', 'Low-Medium', 'Medium', 'Medium-High', 'High']",Income level of the customer
ReturnDate,ReturnDate,"['2021-01-15', '2021-03-10', '2021-06-05', '2021-09-20', '2021-12-01']",Dates when products were returned
WarehouseLocation,WarehouseLocation,"['Seattle, WA', 'Dallas, TX', 'Chicago, IL', 'Atlanta, GA', 'Los Angeles']",Locations of warehouses
StorageSection,StorageSection,"['Section A', 'Section B', 'Section C', 'Section D', 'Section E']",Warehouse storage sections

