Segment,CLTV,Direct,Strong
Gender,ActiveCustomers,Direct,Moderate
AgeGroup,AOV,Direct,Moderate
ProductSubcategory,PurchaseFrequency,Direct,Strong
ProductCategory,StockoutRate,Direct,Moderate
Color,PurchaseFrequency,Direct,Weak
Color,StockoutRate,Inverse,Weak
WarehouseLocation,StockoutRate,Direct,Moderate
Region,Revenue,Direct,Strong
Segment,Revenue,Direct,Strong
ProductCategory,Revenue,Direct,Strong
Region,ChurnRiskScore,Inverse,Moderate
Segment,ChurnRiskScore,Direct,Strong
SalesDate,PurchaseFrequency,Direct,Strong
SalesDate,Recency,Inverse,Strong
PaymentType,AOV,Direct,Moderate
IncomeBracket,CLTV,Direct,Strong
IncomeBracket,AOV,Direct,Moderate
ReturnDate,ReturnRate,Direct,Strong
ReturnDate,AvgReturnAmt,Direct,Strong
WarehouseLocation,AvgDeliveryVolume,Direct,Moderate
